w	r	m	t	d
狸	たぬき	人を化かすと言われる動物		
大根	だいこん	白く長い根菜		
達磨	だるま	縁起物として知られる丸い人形		
地球	ちきゅう	人類が暮らす惑星		
地図	ちず	土地の様子を表した図		
茶碗	ちゃわん	ご飯やお茶を盛る器		
月	つき	夜空に浮かぶ天体		
机	つくえ	勉強や仕事をするための台		
燕	つばめ	春に渡ってくる鳥		
梅雨	つゆ	六月ごろの雨の多い季節		
手紙	てがみ	紙に書いて相手に送る文章		
手袋	てぶくろ	手にはめる防寒具		
電車	でんしゃ	電気の力で走る鉄道車両		
電話	でんわ	音声で会話するための機器		
時計	とけい	時刻を示す道具		
鳥	とり	空を飛ぶ生き物の総称		
豆腐	とうふ	大豆から作られる食品		
蜻蛉	とんぼ	細長い羽を持つ昆虫		
動物	どうぶつ	生き物のうち人や植物以外のもの		
団栗	どんぐり	ブナ科の木になる実		
夏	なつ	一年で最も暑い季節		
鍋	なべ	煮炊きに使う調理器具		
涙	なみだ	悲しい時などに出る液体		
茄子	なす	紫色をした夏野菜		
虹	にじ	雨上がりに見える七色の弧		
鶏	にわとり	卵を産む家禽		
人参	にんじん	オレンジ色の根菜		
縫い包み	ぬいぐるみ	布で作った動物などの人形		
沼	ぬま	水がたまった湿地		
猫	ねこ	人によく飼われる動物		
寝不足	ねぶそく	睡眠が足りていないこと		
野原	のはら	草の生い茂る広い場所		
海苔	のり	黒く薄い海藻を加工した食品		
花	はな	植物が咲かせる美しい部分		
橋	はし	川などを渡るための構造物		
鳩	はと	人里でよく見る鳥		
鋏	はさみ	紙や布を切る道具		
薔薇	ばら	とげを持つ美しい花		
場所	ばしょ	物事が存在する位置		
パソコン	ぱそこん	個人で使う小型の電子計算機		
パン	ぱん	小麦粉から作る主食		
飛行機	ひこうき	空を飛ぶための乗り物		
向日葵	ひまわり	太陽の方を向く大きな黄色い花		
羊	ひつじ	毛を利用される家畜		
美容院	びよういん	髪を整えてもらう店		
琵琶	びわ	初夏に実る黄色い果物		
船	ふね	水の上を進む乗り物		
風船	ふうせん	空気で膨らませるゴム製品		
冬	ふゆ	一年で最も寒い季節		
梟	ふくろう	夜に活動する鳥		
葡萄	ぶどう	房になって実る果物		
蛇	へび	足のない細長い爬虫類		
部屋	へや	家の中で区切られた一室		
弁当	べんとう	持ち運んで食べる食事		
勉強	べんきょう	知識や技術を学ぶこと		
星	ほし	夜空に光る天体		
本	ほん	文字の書かれた冊子		
箒	ほうき	掃いて掃除をする道具		
帽子	ぼうし	頭にかぶるもの		
牡丹	ぼたん	大輪の花、または留め具の名		
窓	まど	壁にある光や風の通り道		
枕	まくら	寝る時に頭を乗せるもの		
祭り	まつり	地域で行われる伝統行事		
水	みず	生命に欠かせない液体		
蜜柑	みかん	冬に実る柑橘類の果物		
港	みなと	船が停泊する場所		
虫	むし	小さな生き物の総称		
麦	むぎ	小麦や大麦などの穀物		
眼鏡	めがね	視力を補うための道具		
目高	めだか	小さな淡水魚		
森	もり	木がたくさん生えた場所		
桃	もも	甘い夏の果物		
山	やま	高く盛り上がった地形		
野菜	やさい	食用にする植物の総称		
薬缶	やかん	湯を沸かす道具		
雪	ゆき	冬に空から降る白いもの		
指輪	ゆびわ	指にはめる装身具		
夜	よる	日が沈んでからの時間帯		
洋服	ようふく	西洋式の衣服		
駱駝	らくだ	背にこぶを持ち砂漠を歩く動物		
ライオン	らいおん	百獣の王と呼ばれる動物		
林檎	りんご	秋に実る赤い果物		
栗鼠	りす	木に登る小さな動物		
留守	るす	家に人がいないこと		
類似	るいじ	互いによく似ていること		
冷蔵庫	れいぞうこ	食品を冷やして保存する電化製品		
歴史	れきし	過去の出来事の記録		
蝋燭	ろうそく	芯に火をともして使う灯り		
驢馬	ろば	馬に似た耳の長い動物		
鰐	わに	水辺に住む大型の爬虫類		
綿菓子	わたがし	ふわふわとした甘い菓子		
